,anchovy
2002.583333,527.8543279
2002.625,417.9849398
2002.666667,551.0905295
2002.708333,943.6702079
2002.75,1183.21054
2002.791667,1142.590853
2002.833333,995.7247619
2002.875,847.268342
2002.916667,718.5933189
2002.958333,609.4890763
2003,503.6491009
2003.041667,427.6707731
2003.083333,447.8943145
2003.125,541.8598458
2003.166667,600.3188346
2003.208333,600.028886
2003.25,605.2969677
2003.291667,629.1355674
2003.333333,630.2856344
2003.375,586.5651332
2003.416667,499.0171042
2003.458333,409.8184588
2003.5,397.6653478
2003.541667,458.3424791
2003.583333,506.4433586
2003.625,532.6462822
2003.666667,604.1365903
2003.708333,716.6202889
2003.75,793.7123075
2003.791667,821.4645493
2003.833333,850.1010544
2003.875,897.6635383
2003.916667,946.1743936
2003.958333,953.5771728
2004,859.0978307
2004.041667,689.2515668
2004.083333,555.4406669
2004.125,495.1001656
2004.166667,467.7471515
2004.208333,426.9198149
2004.25,326.4387985
2004.291667,186.217874
2004.333333,90.9285856
2004.375,94.81173571
2004.416667,214.6356373
2004.458333,369.9661807
2004.5,394.1566681
2004.541667,335.8541157
2004.583333,450.0350737
2004.625,699.2873582
2004.666667,760.433553
2004.708333,668.9663189
2004.75,812.1668773
2004.791667,1133.276341
2004.833333,1136.471835
2004.875,792.1698759
2004.916667,543.3331409
2004.958333,538.9161503
2005,615.2310708
2005.041667,652.5497364
2005.083333,593.0857837
2005.125,479.9995952
2005.166667,447.8281777
2005.208333,472.9375346
2005.25,378.0607786
2005.291667,181.6842385
2005.333333,96.4569617
2005.375,144.8136617
2005.416667,157.3900015
2005.458333,122.535885
2005.5,187.4570679
2005.541667,333.817309
2005.583333,379.7293374
2005.625,347.9539738
2005.666667,461.7878797
2005.708333,686.3949108
2005.75,733.7484542
2005.791667,630.0314991
2005.833333,712.4937407
2005.875,992.9078027
2005.916667,1152.636283
2005.958333,1070.650534
2006,840.5120448
2006.041667,615.9439761
2006.083333,590.2031109
2006.125,696.6911175
2006.166667,621.4582478
2006.208333,377.6734424
2006.25,304.1970994
2006.291667,459.7118864
2006.333333,612.6100634
2006.375,624.3837725
2006.416667,467.8953391
2006.458333,245.9336123
2006.5,176.8980534
2006.541667,261.2923459
2006.583333,285.881675
2006.625,248.6592736
2006.666667,358.7230552
2006.708333,608.5949987
2006.75,773.3133504
2006.791667,818.1416824
2006.833333,902.0501992
2006.875,1046.595422
2006.916667,1129.066223
2006.958333,1062.816887
