;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;10;10.5;11;11.5;12;12.5;13;13.5;14;14.5;15;15.5;16;16.5;17;17.5;18;18.5;19;19.5;20;20.5;21;21.5
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.14860571730721e-05;0.000135828402714867;0.000404974413714737;0.00109954532604503;0.00271861211482705;0.006121106259073;0.0125505034997229;0.0234337039678796;0.0398445832846306;0.061694464449499;0.086990468094327;0.111698077075131;0.130607550704636;0.139071914523002;0.134852543195938;0.119076869553073;0.0957512023393554;0.0701147876381381;0.0467545164335426;0.0283913521103968;0.0156999092411047;0.00790599922538427;0.00362547531750727;0.00151398543714278;0.000575740794033119;0.000199379667206987;6.28757662586134e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.14860571730721e-05;0.000135828402714867;0.000404974413714737;0.00109954532604503;0.00271861211482705;0.006121106259073;0.0125505034997229;0.0234337039678796;0.0398445832846306;0.061694464449499;0.086990468094327;0.111698077075131;0.130607550704636;0.139071914523002;0.134852543195938;0.119076869553073;0.0957512023393554;0.0701147876381381;0.0467545164335426;0.0283913521103968;0.0156999092411047;0.00790599922538427;0.00362547531750727;0.00151398543714278;0.000575740794033119;0.000199379667206987;6.28757662586134e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.16394688155698e-05;3.81084770498397e-05;0.000113620994154054;0.000308492163533769;0.000762743029547258;0.00171735831925513;0.00352121180123965;0.00657463941269576;0.011178931337728;0.0173092080565161;0.024406340578756;0.0313383910997205;0.0366436971140102;0.0390184877164649;0.0378346865955779;0.0334086101274114;0.0268642818726491;0.0196716424706208;0.0131176056028891;0.00796557397928195;0.00440481975080841;0.00221813393969647;0.00101717564346256;0.000424768885829151;0.000161531788621012;5.59386352198522e-05;1.76406380960496e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.16394688155698e-05;3.81084770498397e-05;0.000113620994154054;0.000308492163533769;0.000762743029547258;0.00171735831925513;0.00352121180123965;0.00657463941269576;0.011178931337728;0.0173092080565161;0.024406340578756;0.0313383910997205;0.0366436971140102;0.0390184877164649;0.0378346865955779;0.0334086101274114;0.0268642818726491;0.0196716424706208;0.0131176056028891;0.00796557397928195;0.00440481975080841;0.00221813393969647;0.00101717564346256;0.000424768885829151;0.000161531788621012;5.59386352198522e-05;1.76406380960496e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.03947654282176e-06;1.97736904382866e-05;5.89555537145791e-05;0.000160070121311229;0.000395771379961032;0.000891101256346586;0.00182708304071803;0.00341144266458035;0.00580051329298726;0.00898138546428438;0.0126639388581325;0.0162608346596846;0.0190136468140446;0.0202458759101398;0.0196316263069793;0.0173350279458523;0.0139393131061602;0.0102072031930844;0.00680645075750025;0.00413316947364746;0.00228556869577927;0.00115094323546051;0.0005277911334239;0.000220403676725698;8.3815461319992e-05;2.90253860035125e-05;9.15335756894536e-06
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.03947654282176e-06;1.97736904382866e-05;5.89555537145791e-05;0.000160070121311229;0.000395771379961032;0.000891101256346586;0.00182708304071803;0.00341144266458035;0.00580051329298726;0.00898138546428438;0.0126639388581325;0.0162608346596846;0.0190136468140446;0.0202458759101398;0.0196316263069793;0.0173350279458523;0.0139393131061602;0.0102072031930844;0.00680645075750025;0.00413316947364746;0.00228556869577927;0.00115094323546051;0.0005277911334239;0.000220403676725698;8.3815461319992e-05;2.90253860035125e-05;9.15335756894536e-06
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.98599041626137e-07;1.95985729257258e-06;5.84334382323749e-06;1.58652526473947e-05;3.92266394393576e-05;8.83209586557468e-05;0.000181090223530232;0.000338123063331944;0.000574914344563308;0.000890184553789766;0.00125517859204206;0.00161168273016928;0.0018845260313549;0.00200665766822054;0.00194577669266511;0.00171815074392213;0.00138158653438128;0.00101168073188821;0.000674617224096632;0.000409656576735013;0.000226532750175224;0.000114075038263308;5.23116969502638e-05;2.18451762703987e-05;8.30731843461362e-06;2.87683346749345e-06;9.07229464272752e-07
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.98599041626137e-07;1.95985729257258e-06;5.84334382323749e-06;1.58652526473947e-05;3.92266394393576e-05;8.83209586557468e-05;0.000181090223530232;0.000338123063331944;0.000574914344563308;0.000890184553789766;0.00125517859204206;0.00161168273016928;0.0018845260313549;0.00200665766822054;0.00194577669266511;0.00171815074392213;0.00138158653438128;0.00101168073188821;0.000674617224096632;0.000409656576735013;0.000226532750175224;0.000114075038263308;5.23116969502638e-05;2.18451762703987e-05;8.30731843461362e-06;2.87683346749345e-06;9.07229464272752e-07
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.44932574144745e-05;4.74519908346765e-05;0.00014147882021561;0.000384128898602509;0.000949753914331302;0.00213842371917859;0.00438454966071864;0.00818662285413618;0.013919804422664;0.0215531148352926;0.0303903367205275;0.0390220014642044;0.0456280731798488;0.048585119764381;0.0471110718808893;0.0415998009968198;0.0334509210518679;0.0244947757161253;0.0163338067807622;0.00991858958214165;0.00548480240158644;0.0027619805230974;0.00126656883316843;0.000528914583777768;0.000201136480555982;6.96537833901158e-05;2.19658055649094e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.44932574144745e-05;4.74519908346765e-05;0.00014147882021561;0.000384128898602509;0.000949753914331302;0.00213842371917859;0.00438454966071864;0.00818662285413618;0.013919804422664;0.0215531148352926;0.0303903367205275;0.0390220014642044;0.0456280731798488;0.048585119764381;0.0471110718808893;0.0415998009968198;0.0334509210518679;0.0244947757161253;0.0163338067807622;0.00991858958214165;0.00548480240158644;0.0027619805230974;0.00126656883316843;0.000528914583777768;0.000201136480555982;6.96537833901158e-05;2.19658055649094e-05
