;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.92096396889214e-09;1.71816968795584e-08;2.9753823383853e-08;5.15178972031473e-08;8.91799528272195e-08;1.5430946634149e-07;2.66808875261763e-07;4.60744199325979e-07;7.93919092242321e-07;1.36294062214184e-06;2.32504877013822e-06;3.92449789101146e-06;6.51013655638703e-06;1.05067404935517e-05;1.62753413909676e-05;2.3828753617434e-05;3.25506827819352e-05;4.12726119464364e-05;4.88260241729028e-05;5.45946250703187e-05;5.85912290074833e-05;6.11768676728589e-05;6.27763167937322e-05;6.37384249417285e-05;6.43074464716281e-05;6.46406213645444e-05;6.48345566886086e-05;6.49470560975289e-05;6.50121856110432e-05;6.50498476666672e-05;6.50716117404865e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.92096396889214e-09;1.71816968795584e-08;2.9753823383853e-08;5.15178972031473e-08;8.91799528272195e-08;1.5430946634149e-07;2.66808875261763e-07;4.60744199325979e-07;7.93919092242321e-07;1.36294062214184e-06;2.32504877013822e-06;3.92449789101146e-06;6.51013655638703e-06;1.05067404935517e-05;1.62753413909676e-05;2.3828753617434e-05;3.25506827819352e-05;4.12726119464364e-05;4.88260241729028e-05;5.45946250703187e-05;5.85912290074833e-05;6.11768676728589e-05;6.27763167937322e-05;6.37384249417285e-05;6.43074464716281e-05;6.46406213645444e-05;6.48345566886086e-05;6.49470560975289e-05;6.50121856110432e-05;6.50498476666672e-05;6.50716117404865e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.27008272190818e-08;7.39517522778169e-08;1.28063449822493e-07;2.217382135506e-07;3.83839490700842e-07;6.64163470523366e-07;1.14837224676891e-06;1.98308939628271e-06;3.41710766111726e-06;5.86623358359454e-06;1.00072438647005e-05;1.6891433825502e-05;2.80202828211615e-05;4.52220683249776e-05;7.00507070529038e-05;0.000102561353337698;0.000140101414105808;0.000177641474873917;0.000210152121158711;0.000234980759886638;0.000252182545390454;0.000263311394386113;0.000270195584346915;0.000274336594628021;0.000276785720550498;0.000278219738815333;0.000279054455964846;0.000279538664741092;0.000279818988720915;0.000279981089998065;0.000280074764761793
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.27008272190818e-08;7.39517522778169e-08;1.28063449822493e-07;2.217382135506e-07;3.83839490700842e-07;6.64163470523366e-07;1.14837224676891e-06;1.98308939628271e-06;3.41710766111726e-06;5.86623358359454e-06;1.00072438647005e-05;1.6891433825502e-05;2.80202828211615e-05;4.52220683249776e-05;7.00507070529038e-05;0.000102561353337698;0.000140101414105808;0.000177641474873917;0.000210152121158711;0.000234980759886638;0.000252182545390454;0.000263311394386113;0.000270195584346915;0.000274336594628021;0.000276785720550498;0.000278219738815333;0.000279054455964846;0.000279538664741092;0.000279818988720915;0.000279981089998065;0.000280074764761793
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.02175362047828e-08;1.76953177611525e-08;3.06432690017298e-08;5.30579469412403e-08;9.18458528435407e-08;1.58922314810195e-07;2.74784723671249e-07;4.74517451380539e-07;8.17652104582741e-07;1.40368367382132e-06;2.39455259199231e-06;4.04181482895569e-06;6.70474725757848e-06;1.08208236340475e-05;1.67618681439462e-05;2.45410782222777e-05;3.35237362878924e-05;4.25063943535071e-05;5.02856044318386e-05;5.62266489417373e-05;6.03427253182064e-05;6.30056577468292e-05;6.46529199837925e-05;6.56437889019635e-05;6.62298204712021e-05;6.65729551244043e-05;6.67726878521136e-05;6.68885502609747e-05;6.69556267229413e-05;6.69944146288436e-05;6.70168293067831e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.02175362047828e-08;1.76953177611525e-08;3.06432690017298e-08;5.30579469412403e-08;9.18458528435407e-08;1.58922314810195e-07;2.74784723671249e-07;4.74517451380539e-07;8.17652104582741e-07;1.40368367382132e-06;2.39455259199231e-06;4.04181482895569e-06;6.70474725757848e-06;1.08208236340475e-05;1.67618681439462e-05;2.45410782222777e-05;3.35237362878924e-05;4.25063943535071e-05;5.02856044318386e-05;5.62266489417373e-05;6.03427253182064e-05;6.30056577468292e-05;6.46529199837925e-05;6.56437889019635e-05;6.62298204712021e-05;6.65729551244043e-05;6.67726878521136e-05;6.68885502609747e-05;6.69556267229413e-05;6.69944146288436e-05;6.70168293067831e-05
F.1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.27733767526031e-07;2.21216696461938e-07;3.83084544106862e-07;6.63299970185418e-07;1.1482040856244e-06;1.98675547684009e-06;3.43520074797465e-06;5.93214456077132e-06;1.0221816859827e-05;1.75480468557623e-05;2.99353208037791e-05;5.05284469169214e-05;8.38188982505815e-05;0.000135275720370299;0.000209547245626454;0.000306798460769358;0.000419094491252908;0.000531390521736456;0.000628641736879361;0.000702913262135516;0.000754370084255234;0.000787660535588894;0.000808253661702036;0.000820640935650053;0.000827967165645989;0.000832256837945044;0.000834753781757841;0.000836202227028975;0.000837040778420191;0.00083752568253563;0.000837805897961709
F.1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.27733767526031e-07;2.21216696461938e-07;3.83084544106862e-07;6.63299970185418e-07;1.1482040856244e-06;1.98675547684009e-06;3.43520074797465e-06;5.93214456077132e-06;1.0221816859827e-05;1.75480468557623e-05;2.99353208037791e-05;5.05284469169214e-05;8.38188982505815e-05;0.000135275720370299;0.000209547245626454;0.000306798460769358;0.000419094491252908;0.000531390521736456;0.000628641736879361;0.000702913262135516;0.000754370084255234;0.000787660535588894;0.000808253661702036;0.000820640935650053;0.000827967165645989;0.000832256837945044;0.000834753781757841;0.000836202227028975;0.000837040778420191;0.00083752568253563;0.000837805897961709
F.1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.66609712872234e-08;9.8128733922531e-08;1.69931121383346e-07;2.94230893626723e-07;5.09327799433918e-07;8.81297852621701e-07;1.52380858027361e-06;2.6314190768782e-06;4.53425967788732e-06;7.78407619456285e-06;1.32789033423843e-05;2.24137355015715e-05;3.71809293586761e-05;6.00064795411125e-05;9.29523233966902e-05;0.000136091646815901;0.00018590464679338;0.00023571764677086;0.000278856970190071;0.000311802814045648;0.000334628364228085;0.000349395558085189;0.000358530390244377;0.000364025217392198;0.000367275033908874;0.000369177874509883;0.000370285485006487;0.000370927995734139;0.000371299965787327;0.000371515062693134;0.000371639362465378
F.1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.66609712872234e-08;9.8128733922531e-08;1.69931121383346e-07;2.94230893626723e-07;5.09327799433918e-07;8.81297852621701e-07;1.52380858027361e-06;2.6314190768782e-06;4.53425967788732e-06;7.78407619456285e-06;1.32789033423843e-05;2.24137355015715e-05;3.71809293586761e-05;6.00064795411125e-05;9.29523233966902e-05;0.000136091646815901;0.00018590464679338;0.00023571764677086;0.000278856970190071;0.000311802814045648;0.000334628364228085;0.000349395558085189;0.000358530390244377;0.000364025217392198;0.000367275033908874;0.000369177874509883;0.000370285485006487;0.000370927995734139;0.000371299965787327;0.000371515062693134;0.000371639362465378
